Energy_Wh,raw_voltage_mean,isotonic_voltage
195.0988,30.405,30.407
195.3177,30.405,30.407
195.5362,30.395,30.407
195.7552,30.415,30.407
195.9742,30.415,30.407
196.1928,30.405,30.405
196.4117,30.405,30.405
196.6302,30.395,30.395
196.8488,30.395,30.395
197.0713,30.375,30.375
197.2935,30.365,30.375
197.5119,30.375,30.375
197.73,30.375,30.375
197.9481,30.365,30.375
198.1666,30.395,30.375
198.3891,30.375,30.375
198.6113,30.365,30.371666666666666
198.8297,30.375,30.371666666666666
199.0478,30.375,30.371666666666666
199.2659,30.365,30.365
199.4836,30.355,30.355
199.7016,30.355,30.355
199.9238,30.334,30.3404
200.1417,30.334,30.3404
200.3608,30.324,30.3404
200.5785,30.355,30.3404
200.7965,30.355,30.3404
201.0187,30.334,30.334
201.2365,30.334,30.334
201.4557,30.324,30.327333333333332
201.6773,30.324,30.327333333333332
201.8951,30.334,30.327333333333332
202.1126,30.324,30.324
202.334,30.304,30.31566666666667
202.5519,30.304,30.31566666666667
202.7693,30.304,30.31566666666667
202.9909,30.324,30.31566666666667
203.2087,30.334,30.31566666666667
203.4262,30.324,30.31566666666667
203.6477,30.304,30.304
203.8656,30.304,30.304
204.0829,30.304,30.304
204.3,30.304,30.304
204.521,30.284,30.290666666666667
204.7383,30.294,30.290666666666667
204.9556,30.294,30.290666666666667
205.1765,30.274,30.287333333333333
205.3934,30.274,30.287333333333333
205.6105,30.304,30.287333333333333
205.8315,30.284,30.287333333333333
206.0488,30.294,30.287333333333333
206.266,30.294,30.287333333333333
206.487,30.274,30.274
206.7039,30.274,30.274
206.9207,30.274,30.274
207.1378,30.264,30.264
207.3545,30.254,30.258000000000003
207.5712,30.254,30.258000000000003
207.7879,30.244,30.258000000000003
208.0047,30.274,30.258000000000003
208.2218,30.264,30.258000000000003
208.4385,30.254,30.254
208.6552,30.254,30.254
208.8719,30.244,30.244
209.0883,30.244,30.244
209.3088,30.224,30.224
209.531,30.214,30.222333333333335
209.7489,30.224,30.222333333333335
209.9664,30.214,30.222333333333335
210.1839,30.214,30.222333333333335
210.4003,30.244,30.222333333333335
210.6209,30.224,30.222333333333335
210.843,30.214,30.219
211.0609,30.224,30.219
211.2784,30.214,30.214
211.4959,30.214,30.214
211.7174,30.194,30.198999999999998
211.9349,30.204,30.198999999999998
212.1517,30.194,30.194
212.3688,30.194,30.194
212.5877,30.184,30.194
212.8092,30.194,30.194
213.0267,30.204,30.194
